ticker,yahoo_symbol,action_date,cash_dividend_per_share,split_factor
INDES,INDES.IS,2021-05-28,0.058728,0.0
INDES,INDES.IS,2022-05-25,0.160001,0.0
INDES,INDES.IS,2023-05-02,0.25239,0.0
INDES,INDES.IS,2024-07-05,0.346669,0.0
INDES,INDES.IS,2026-07-01,0.217335,0.0
ISCTR,ISCTR.IS,2021-04-02,0.027244,0.0
ISCTR,ISCTR.IS,2022-03-29,0.053872,0.0
ISCTR,ISCTR.IS,2023-04-03,0.369221,0.0
ISCTR,ISCTR.IS,2024-04-01,0.289058,0.0
ISCTR,ISCTR.IS,2025-03-28,0.18207,0.0
ISCTR,ISCTR.IS,2026-04-01,0.539521,0.0
ISDMR,ISDMR.IS,2020-07-16,0.18,0.0
ISDMR,ISDMR.IS,2021-03-24,1.28,0.0
ISDMR,ISDMR.IS,2021-12-08,1.5,0.0
ISDMR,ISDMR.IS,2022-03-22,3.0,0.0
ISDMR,ISDMR.IS,2024-04-16,0.5,0.0
ISDMR,ISDMR.IS,2025-07-02,0.25,0.0
ISDMR,ISDMR.IS,2026-06-03,4.5,0.0
ISGYO,ISGYO.IS,2026-03-31,0.083442,0.0
ISMEN,ISMEN.IS,2021-03-31,0.236667,0.0
ISMEN,ISMEN.IS,2022-05-24,0.266667,0.0
ISMEN,ISMEN.IS,2023-05-26,0.503333,0.0
ISMEN,ISMEN.IS,2024-05-29,1.066667,0.0
ISMEN,ISMEN.IS,2025-03-28,5.666667,0.0
ISMEN,ISMEN.IS,2026-04-01,3.166667,0.0
JANTS,JANTS.IS,2021-04-06,0.095143,0.0
JANTS,JANTS.IS,2022-04-05,0.113458,0.0
JANTS,JANTS.IS,2023-05-03,0.252129,0.0
JANTS,JANTS.IS,2024-05-07,0.35298,0.0
JANTS,JANTS.IS,2025-05-06,0.030679,0.0
KARTN,KARTN.IS,2021-04-02,0.649748,0.0
KARTN,KARTN.IS,2022-04-05,1.825826,0.0
KARTN,KARTN.IS,2023-04-05,1.83715,0.0
KAYSE,KAYSE.IS,2023-09-19,0.011767,0.0
KAYSE,KAYSE.IS,2023-11-28,0.055973,0.0
KCAER,KCAER.IS,2023-05-29,0.078851,0.0
KCAER,KCAER.IS,2024-07-01,0.104439,0.0
KCAER,KCAER.IS,2025-07-02,0.086162,0.0
KCAER,KCAER.IS,2026-07-01,0.169713,0.0
KCHOL,KCHOL.IS,2021-04-14,0.585,0.0
KCHOL,KCHOL.IS,2022-04-07,0.902,0.0
KCHOL,KCHOL.IS,2023-03-27,1.733,0.0
KCHOL,KCHOL.IS,2024-04-24,8.0,0.0
KCHOL,KCHOL.IS,2025-04-10,6.88,0.0
KCHOL,KCHOL.IS,2026-03-25,6.83,0.0
KLSER,KLSER.IS,2024-06-25,0.194258,0.0
KMPUR,KMPUR.IS,2022-06-17,0.311063,0.0
KMPUR,KMPUR.IS,2023-07-14,0.614061,0.0
KMPUR,KMPUR.IS,2024-07-09,0.246812,0.0
KONTR,KONTR.IS,2021-08-27,0.005489,0.0
KONTR,KONTR.IS,2022-07-05,0.009878,0.0
KONTR,KONTR.IS,2023-07-12,0.023842,0.0
KONTR,KONTR.IS,2024-09-05,0.023842,0.0
KONTR,KONTR.IS,2025-07-08,0.015895,0.0
KORDS,KORDS.IS,2022-04-04,0.822499,0.0
KORDS,KORDS.IS,2023-03-29,0.293015,0.0
KRDMD,KRDMD.IS,2022-06-28,0.438596,0.0
KRDMD,KRDMD.IS,2022-11-28,0.438596,0.0
KRDMD,KRDMD.IS,2023-06-21,0.109649,0.0
KRDMD,KRDMD.IS,2023-11-28,0.109649,0.0
KRVGD,KRVGD.IS,2021-06-25,0.014815,0.0
KRVGD,KRVGD.IS,2022-07-05,0.019907,0.0
KRVGD,KRVGD.IS,2023-08-04,0.027778,0.0
KRVGD,KRVGD.IS,2024-07-02,0.034722,0.0
KRVGD,KRVGD.IS,2024-09-10,0.034722,0.0
KRVGD,KRVGD.IS,2026-06-18,0.036456,0.0
KTLEV,KTLEV.IS,2024-03-26,0.042055,0.0
KTLEV,KTLEV.IS,2025-04-21,0.028286,0.0
KTLEV,KTLEV.IS,2026-04-21,0.028571,0.0
KTLEV,KTLEV.IS,2026-04-28,0.028571,0.0
KTLEV,KTLEV.IS,2026-05-20,0.028571,0.0
KTLEV,KTLEV.IS,2026-06-23,0.028571,0.0
KTLEV,KTLEV.IS,2026-07-21,0.028571,0.0
LIDER,LIDER.IS,2022-07-27,0.026211,0.0
LIDER,LIDER.IS,2023-05-11,0.018182,0.0
LIDER,LIDER.IS,2023-07-12,0.018182,0.0
LIDER,LIDER.IS,2024-06-24,0.025,0.0
LIDER,LIDER.IS,2024-08-16,0.025,0.0
LIDER,LIDER.IS,2024-10-22,0.025,0.0
LIDER,LIDER.IS,2024-12-10,0.025,0.0
LIDER,LIDER.IS,2025-04-11,0.02852,0.0
LIDER,LIDER.IS,2025-06-12,0.02852,0.0
LIDER,LIDER.IS,2025-08-13,0.02852,0.0
LIDER,LIDER.IS,2025-10-13,0.02852,0.0
