ticker,m3,ek4,ek9
LMKDC,0.0,0.12129799804701732,0.6275629353796973
LOGO,0.46826255496959074,0.8989161901216359,0.7324998773168239
LUKSK,0.0,0.29102928078847884,
LYDYE,0.19532017695627993,0.3928918252593681,
MAALT,0.3784917702396541,0.6720651176545726,
MACKO,0.3013888660722215,0.3715547236349188,0.5930204576694766
MAGEN,0.5837199453803054,0.4061339497925277,
MAKIM,0.0,0.2331963936161123,
MAKTK,0.0,0.3413399153674899,
MANAS,0.9297329990436295,0.8749332356008158,
MARBL,0.1459600722086167,0.45731866929446263,0.7262619307045548
MARMR,0.0221350159654065,0.0,0.4458815084536931
MARTI,1.0,1.0,
MASFN,,0.058111951629059716,
MAVI,0.24527446338815861,0.45629980691688204,
MCARD,0.30118569375379217,0.7655094946531924,0.25286680191055066
MEDTR,0.0,0.25084984550340705,0.7581355049930721
MEGMT,0.0,0.0,0.3417971251689941
MEKAG,0.0,0.3765038801889313,0.6478735728442053
MEPET,0.18119947625447128,0.5970239389202456,0.46930018741536406
MERCN,0.0,0.0,
MERIT,0.3359435872230277,0.49401236193357884,0.667590629640052
MERKO,0.0,0.16053541111929123,
METEN,,0.0,
MEYSU,0.0,0.1783134502022314,0.43109997690055035
MGROS,0.028117426881787422,0.32840192442183597,0.6287262966902953
MIATK,0.0,1.0,
MNDRS,0.2979321704457347,0.3351259291038054,0.6434532848043093
MNDTR,0.008323709767571186,0.4685170471867382,
MOBTL,0.28120983023701945,0.8263590650236422,0.5714378869874172
MOGAN,0.6338306565870323,0.0,0.13684962588622762
MOPAS,0.0,0.1655497727266704,0.6610485621974673
MPARK,0.6128712088811801,0.509120941721984,0.683040629897864
MRSHL,0.5768631161909739,0.35830168020201125,
MTRKS,0.435684992024226,0.48114673122815627,0.43870839564806274
NATEN,0.0,0.37156436184761843,
NETAS,1.0,1.0,
NETCD,0.0,0.6018113323407188,0.40548982195323247
NIBAS,0.3303911036969942,1.0,
NTGAZ,0.3516295094076003,0.6664531335215621,
NUHCM,0.3532111655672616,0.4451548584101951,0.7853905027559629
OBAMS,0.0,0.38838425466305265,0.5314217437056143
OBASE,0.21071611493289472,0.7658198250226557,
ODAS,0.20342808972261803,0.40983680803414674,
ODINE,0.0,0.0,0.0
OFSYM,0.7547578491974202,0.6443733186976687,0.44252584695180497
ONCSM,0.0,0.0,0.3179048747724149
ONRYT,0.34062297083056026,0.8014563904416669,0.5782470442758091
ORCAY,0.0,0.2986051672661753,
ORGE,0.39468960881420995,0.5572166974796664,0.4739102744685565
ORZAX,,0.0,
OTKAR,0.15495370609953485,0.36648263645285767,
OYAKC,0.49245906517271126,0.4293080605310535,
OYLUM,0.0,0.35921671609598593,0.769780337542928
OZATD,1.0,0.8413471437715965,0.33830936007955525
OZRDN,0.40682374458817366,0.6614255778197693,
OZSUB,1.0,0.3074661145991915,0.4170736893031548
OZYSR,0.39805020847952766,0.20476365644834918,0.48477679884765223
PAMEL,0.04464118054853104,0.17220669776621914,
PAPIL,0.11649493510463259,0.994381449873367,
PARSN,0.0,0.47758974733374243,
PASEU,0.0,0.0,0.0
PATEK,0.8262627415058516,1.0,0.3010320275081436
PCILT,0.4180019830900161,0.47668897487115597,0.4918883549228724
PENGD,0.0,0.3750670266245899,
PENTA,0.24109740094988413,0.8507620461651392,
PETKM,0.6231247864227122,0.8596281933726753,
PETUN,0.343587940825437,0.5753202743593007,0.7252765570922733
PGSUS,0.20614188741990724,0.582200704246301,
PINSU,0.19814398894094076,0.41343230938538905,
PKART,0.0,0.35622159789852625,
PKENT,0.11238494405708038,0.4533228869394752,
PLTUR,0.3398144233506459,0.5648288947321018,
PNLSN,0.08662730058875578,0.24983011080825637,
PNSUT,0.30798126615550164,0.7092295220491752,
POLTK,0.0,0.2627702792358276,
PRKAB,0.0,0.32741784307325006,
PRKME,0.256073171817999,0.5801705621235332,
PRZMA,1.0,0.003760830582369007,
PSDTC,0.9282343107126748,0.40952058961323323,0.17646825738861516
QUAGR,0.0,0.21674962933054306,0.4714418829428303
REEDR,0.0,0.6637746467687431,
RGYAS,0.4974017417855972,0.4318630633696897,0.7383136767602816
RNPOL,0.21571808023894767,0.13066444532811292,0.4820373106245014
RODRG,0.11676872958885552,0.23210699523049147,0.38273206575323104
RTALB,0.0,0.3367653042620476,
RUBNS,0.7777911384874999,0.0,
RUZYE,0.0,0.33296459343954654,
RYSAS,0.6621670202276865,0.9122061143469621,0.37781379401289805
SAFKR,0.0,0.0,0.4683281602848789
SAMAT,0.0,0.38609932257852125,0.47658853786551725
SANEL,0.041287933865298554,0.03626884950987633,0.0
