ticker,company_name,sector_index_code,sector_code,is_active,kap_company_id,source_url,universe_source
TABGD,TAB GIDA SANAYİ VE TİCARET A.Ş.,,,True,4065,https://kap.org.tr/tr/sirket-bilgileri/ozet/4065-tab-gida-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
TAC,TACİRLER YATIRIM MENKUL DEĞERLER A.Ş.,,,True,2522,https://kap.org.tr/tr/sirket-bilgileri/ozet/2522-tacirler-yatirim-menkul-degerler-a-s,KAP_PUBLIC_BIST_COMPANIES
TAE,TERA YATIRIM BANKASI A.Ş.,,,True,5886,https://kap.org.tr/tr/sirket-bilgileri/ozet/5886-tera-yatirim-bankasi-a-s,KAP_PUBLIC_BIST_COMPANIES
TAMFA,TAM FİNANS FAKTORİNG A.Ş.,,,True,2188,https://kap.org.tr/tr/sirket-bilgileri/ozet/2188-tam-finans-faktoring-a-s,KAP_PUBLIC_BIST_COMPANIES
TARFN,TARFİN TARIM A.Ş.,,,True,6030,https://kap.org.tr/tr/sirket-bilgileri/ozet/6030-tarfin-tarim-a-s,KAP_PUBLIC_BIST_COMPANIES
TARKM,TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.,,,True,5023,https://kap.org.tr/tr/sirket-bilgileri/ozet/5023-tarkim-bitki-koruma-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
TATEN,TATLIPINAR ENERJİ ÜRETİM A.Ş.,,,True,5850,https://kap.org.tr/tr/sirket-bilgileri/ozet/5850-tatlipinar-enerji-uretim-a-s,KAP_PUBLIC_BIST_COMPANIES
TATGD,TAT GIDA SANAYİ A.Ş.,,,True,1091,https://kap.org.tr/tr/sirket-bilgileri/ozet/1091-tat-gida-sanayi-a-s,KAP_PUBLIC_BIST_COMPANIES
TAVHL,TAV HAVALİMANLARI HOLDİNG A.Ş.,,,True,1452,https://kap.org.tr/tr/sirket-bilgileri/ozet/1452-tav-havalimanlari-holding-a-s,KAP_PUBLIC_BIST_COMPANIES
TBORG,TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,,,True,1088,https://kap.org.tr/tr/sirket-bilgileri/ozet/1088-turk-tuborg-bira-ve-malt-sanayii-a-s,KAP_PUBLIC_BIST_COMPANIES
TCELL,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,,,True,1103,https://kap.org.tr/tr/sirket-bilgileri/ozet/1103-turkcell-iletisim-hizmetleri-a-s,KAP_PUBLIC_BIST_COMPANIES
TCKRC,KIRAÇ GALVANİZ TELEKOMİNİKASYON METAL MAKİNE İNŞAAT ELEKTRİK SANAYİ VE TİCARET A.Ş.,,,True,6010,https://kap.org.tr/tr/sirket-bilgileri/ozet/6010-kirac-galvaniz-telekominikasyon-metal-makine-insaat-elektrik-sanayi-ve-ticaret-a-s,KAP_PUBLIC_BIST_COMPANIES
TCRYT,TACİRLER YATIRIM MENKUL DEĞERLER A.Ş.,,,True,2522,https://kap.org.tr/tr/sirket-bilgileri/ozet/2522-tacirler-yatirim-menkul-degerler-a-s,KAP_PUBLIC_BIST_COMPANIES
TDGYO,TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,,,True,4580,https://kap.org.tr/tr/sirket-bilgileri/ozet/4580-trend-gayrimenkul-yatirim-ortakligi-a-s,KAP_PUBLIC_BIST_COMPANIES
TEBFA,TEB FAKTORİNG A.Ş.,,,True,3025,https://kap.org.tr/tr/sirket-bilgileri/ozet/3025-teb-faktoring-a-s,KAP_PUBLIC_BIST_COMPANIES
TEHOL,TERA YATIRIM TEKNOLOJİ HOLDİNG A.Ş.,,,True,968,https://kap.org.tr/tr/sirket-bilgileri/ozet/968-tera-yatirim-teknoloji-holding-a-s,KAP_PUBLIC_BIST_COMPANIES
TEKTU,TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.,,,True,1092,https://kap.org.tr/tr/sirket-bilgileri/ozet/1092-tek-art-insaat-ticaret-turizm-sanayi-ve-yatirimlar-a-s,KAP_PUBLIC_BIST_COMPANIES
