ticker,date,kind,value
EREGL,2025-07-02,DIVIDEND,0.25
EREGL,2026-06-03,DIVIDEND,0.55
EREGL,2024-11-27,SPLIT,2.0
ESCAR,2023-11-07,DIVIDEND,0.18462
ESCAR,2024-06-26,DIVIDEND,0.12489
ESCAR,2024-10-01,DIVIDEND,0.12489
ESCAR,2025-04-22,DIVIDEND,0.12
ESCAR,2025-07-22,DIVIDEND,0.12
ESCAR,2025-09-22,DIVIDEND,0.12
ESCAR,2024-11-29,SPLIT,9.208103
ESCOM,2025-02-28,SPLIT,14.099070999999999
ESEN,2023-11-29,SPLIT,5.7732066
ESEN,2025-08-12,SPLIT,7.0
ETILR,2024-12-20,SPLIT,3.0
EUPWR,2024-10-08,SPLIT,3.0
EUREN,2024-12-05,SPLIT,2.7631577
EYGYO,2024-09-30,DIVIDEND,0.016971
EYGYO,2024-10-31,DIVIDEND,0.016971
EYGYO,2025-12-25,DIVIDEND,0.028571
EYGYO,2025-02-13,SPLIT,3.5
FLAP,2024-09-24,DIVIDEND,0.065643
FLAP,2025-09-12,DIVIDEND,0.069333
FMIZP,2025-03-28,DIVIDEND,0.705068
FMIZP,2026-03-27,DIVIDEND,4.756029
FONET,2023-12-11,SPLIT,3.6
FONET,2025-10-20,SPLIT,6.5
FORTE,2024-12-11,DIVIDEND,0.112768
FRIGO,2026-05-13,SPLIT,2.8891424999999997
FROTO,2023-10-30,DIVIDEND,2.976
FROTO,2024-04-08,DIVIDEND,4.33
FROTO,2024-11-22,DIVIDEND,1.425
FROTO,2025-04-03,DIVIDEND,1.71
FROTO,2025-12-03,DIVIDEND,6.05
FROTO,2026-03-16,DIVIDEND,3.64
FROTO,2025-05-07,SPLIT,10.0
FZLGY,2025-08-18,SPLIT,3.9308175999999997
GEDZA,2023-09-04,SPLIT,2.0
GENIL,2024-06-07,DIVIDEND,0.024691
GENIL,2024-10-08,DIVIDEND,0.024691
GENIL,2025-05-07,DIVIDEND,0.008889
GENIL,2025-08-12,DIVIDEND,0.008889
GENIL,2025-11-12,DIVIDEND,0.008889
GENIL,2026-08-04,DIVIDEND,0.016133
GENIL,2026-02-10,SPLIT,15.0
GENKM,2026-07-14,DIVIDEND,0.205255
GENTS,2024-05-31,DIVIDEND,0.066667
GENTS,2025-05-14,DIVIDEND,0.06
GENTS,2025-07-16,DIVIDEND,0.06
GENTS,2026-05-20,DIVIDEND,0.156863
GENTS,2023-06-20,SPLIT,1.3378387
GENTS,2025-08-28,SPLIT,2.5
GEREL,2024-09-30,SPLIT,3.0
GIPTA,2024-07-03,DIVIDEND,0.234661
GIPTA,2025-06-17,DIVIDEND,1.060606
GIPTA,2026-05-12,DIVIDEND,1.529735
GIPTA,2026-07-14,DIVIDEND,0.007765
GIPTA,2026-09-22,DIVIDEND,0.007765
GLRYH,2025-01-20,SPLIT,3.0
GLYHO,2023-11-09,DIVIDEND,0.007692
GLYHO,2024-10-24,DIVIDEND,0.041026
GLYHO,2025-09-30,DIVIDEND,0.064103
GLYHO,2025-02-12,SPLIT,3.0
GMTAS,2023-06-07,DIVIDEND,0.088415
GMTAS,2025-05-07,DIVIDEND,0.2984
GMTAS,2026-01-16,SPLIT,2.0107237000000002
GOKNR,2024-10-15,DIVIDEND,0.3
GOKNR,2025-10-15,DIVIDEND,0.357143
GOKNR,2026-08-10,DIVIDEND,0.306293
GOLTS,2023-07-31,DIVIDEND,3.5
GOLTS,2024-10-03,DIVIDEND,11.12
GOLTS,2025-12-05,DIVIDEND,5.0
GOLTS,2026-07-17,DIVIDEND,4.166667
GOODY,2026-07-02,SPLIT,5.6296295
GRSEL,2023-10-27,DIVIDEND,0.098039
GRSEL,2024-06-20,DIVIDEND,0.196078
GRSEL,2024-10-21,DIVIDEND,0.196078
GRSEL,2025-07-18,DIVIDEND,0.392157
GRSEL,2025-07-25,DIVIDEND,0.392157
GRSEL,2026-05-11,DIVIDEND,0.735294
GRSEL,2026-05-18,DIVIDEND,0.735294
GRTHO,2024-07-22,DIVIDEND,0.039733
GRTHO,2024-09-13,DIVIDEND,0.039733
GRTHO,2024-12-13,DIVIDEND,0.039733
GRTHO,2026-05-22,DIVIDEND,0.449071
GRTHO,2026-07-22,DIVIDEND,0.449071
GSDHO,2023-08-14,DIVIDEND,0.1
GUNDG,2025-09-26,DIVIDEND,0.051282
GUNDG,2025-10-31,DIVIDEND,0.051282
GUNDG,2025-11-28,DIVIDEND,0.051282
GWIND,2023-12-26,DIVIDEND,0.231481
GWIND,2024-08-27,DIVIDEND,0.809259
GWIND,2025-11-26,DIVIDEND,0.640741
GWIND,2023-07-28,SPLIT,1.0097393
HEDEF,2024-08-19,SPLIT,5.0
HEDEF,2026-06-03,SPLIT,1.5388908000000001
HKTM,2023-07-03,DIVIDEND,0.036667
HKTM,2024-02-28,SPLIT,3.0
HLGYO,2023-08-11,DIVIDEND,0.002336
HLGYO,2024-07-19,DIVIDEND,0.013352
HLGYO,2025-06-18,DIVIDEND,0.004167
HLGYO,2026-06-26,DIVIDEND,0.575521
HLGYO,2023-09-19,SPLIT,1.0477707
HLGYO,2024-09-04,SPLIT,1.1701112
HLGYO,2025-06-18,SPLIT,1.0434782
HLGYO,2025-09-18,SPLIT,1.0434782
HRKET,2026-09-21,SPLIT,14.0
HTTBT,2024-11-27,SPLIT,2.3529411
IHAAS,2023-06-26,SPLIT,2.546875
IHEVA,2023-12-12,DIVIDEND,0.02
IMASM,2024-09-19,SPLIT,4.0
INDES,2024-07-05,DIVIDEND,0.346669
INDES,2026-07-01,DIVIDEND,0.217335
INDES,2023-11-30,SPLIT,3.348214
INVEO,2024-08-02,SPLIT,4.1666666
ISBIR,2024-07-16,DIVIDEND,1.0
ISBIR,2025-08-20,DIVIDEND,1.0
ISBIR,2026-07-13,DIVIDEND,1.0
ISDMR,2024-04-16,DIVIDEND,0.5
ISDMR,2025-07-02,DIVIDEND,0.25
ISDMR,2026-06-03,DIVIDEND,4.5
ISGYO,2026-03-31,DIVIDEND,0.083442
ISKPL,2023-06-22,DIVIDEND,0.001745
ISKPL,2025-06-26,DIVIDEND,0.001677
ISKPL,2026-06-26,DIVIDEND,0.000431
ISKPL,2025-08-06,SPLIT,7.04495
ISSEN,2023-06-12,DIVIDEND,0.06
ISSEN,2024-08-15,DIVIDEND,0.06
ISSEN,2025-08-15,DIVIDEND,0.09
ISSEN,2026-06-30,DIVIDEND,0.04
IZENR,2024-11-29,SPLIT,4.25
IZFAS,2025-12-09,SPLIT,2.0
JANTS,2024-05-07,DIVIDEND,0.35298
JANTS,2025-05-06,DIVIDEND,0.030679
JANTS,2024-05-31,SPLIT,7.932461
KAYSE,2023-09-19,DIVIDEND,0.011767
KAYSE,2023-11-28,DIVIDEND,0.055973
KAYSE,2026-01-06,SPLIT,4.2492917
KBORU,2024-06-26,DIVIDEND,0.087915
KBORU,2025-06-24,DIVIDEND,0.214821
KBORU,2025-06-04,SPLIT,6.0
KCAER,2024-07-01,DIVIDEND,0.104439
KCAER,2025-07-02,DIVIDEND,0.086162
KCAER,2026-07-01,DIVIDEND,0.169713
KCAER,2024-11-28,SPLIT,2.5178407000000003
KCHOL,2024-04-24,DIVIDEND,8.0
KCHOL,2025-04-10,DIVIDEND,6.88
KCHOL,2026-03-25,DIVIDEND,6.83
KFEIN,2024-07-01,DIVIDEND,0.020253
KFEIN,2025-05-20,DIVIDEND,0.03038
KFEIN,2026-05-04,DIVIDEND,0.020253
KFEIN,2025-08-14,SPLIT,10.0
KGYO,2025-03-12,SPLIT,16.27965
KIMMR,2026-06-30,DIVIDEND,0.208333
KLKIM,2024-06-12,DIVIDEND,0.141304
KLKIM,2025-05-06,DIVIDEND,0.434783
KLKIM,2026-05-08,DIVIDEND,0.652174
KLKIM,2023-09-27,SPLIT,4.0
KLMSN,2023-06-01,DIVIDEND,0.075758
KLSER,2024-06-25,DIVIDEND,0.194258
KLSYN,2023-06-12,DIVIDEND,0.033334
KLSYN,2025-07-14,DIVIDEND,0.12
KLSYN,2026-08-17,DIVIDEND,0.15
KMPUR,2023-07-14,DIVIDEND,0.614061
KMPUR,2024-07-09,DIVIDEND,0.246812
KMPUR,2023-08-09,SPLIT,2.0
KMPUR,2024-09-18,SPLIT,2.0
KNFRT,2024-01-29,SPLIT,2.0
KOCMT,2025-09-24,SPLIT,5.4945056
KONKA,2023-07-25,DIVIDEND,0.272207
KONKA,2025-10-24,SPLIT,3.0
KONTR,2023-07-12,DIVIDEND,0.023842
KONTR,2024-09-05,DIVIDEND,0.023842
KONTR,2025-07-08,DIVIDEND,0.015895
KONTR,2024-07-19,SPLIT,2.25
KOPOL,2024-12-03,SPLIT,6.0
KORDS,2026-09-14,SPLIT,18.999012
KRDMA,2023-06-21,DIVIDEND,0.109649
KRDMA,2023-11-28,DIVIDEND,0.109649
KRDMB,2023-06-21,DIVIDEND,0.109649
KRDMB,2023-11-28,DIVIDEND,0.109649
KRDMD,2023-06-21,DIVIDEND,0.109649
KRDMD,2023-11-28,DIVIDEND,0.109649
KRGYO,2026-05-15,DIVIDEND,0.038384
KRGYO,2024-12-11,SPLIT,5.0
KRPLS,2023-11-17,DIVIDEND,0.055551
KRVGD,2023-08-04,DIVIDEND,0.027778
KRVGD,2024-07-02,DIVIDEND,0.034722
KRVGD,2024-09-10,DIVIDEND,0.034722
KRVGD,2026-06-18,DIVIDEND,0.036456
KRVGD,2024-08-02,SPLIT,9.0
KSTUR,2024-05-08,DIVIDEND,6.435846
KSTUR,2025-04-21,DIVIDEND,14.0
KSTUR,2026-04-20,DIVIDEND,16.0
